,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
279,GaussianFitter,org.apache.commons.math3.optimization.fitting,53,0,19,18,0,90,58.88888889
280,GaussianRandomGenerator,org.apache.commons.math3.random,1,0,0,0,0,1,100
281,GeneticAlgorithm,org.apache.commons.math3.genetics,17,0,0,12,0,29,58.62068966
282,GeometricDistribution,org.apache.commons.math3.distribution,43,0,2,2,0,47,91.4893617
283,GeometricMean,org.apache.commons.math3.stat.descriptive.moment,13,0,2,5,0,20,65
284,GillFieldIntegrator,org.apache.commons.math3.ode.nonstiff,7,0,0,0,0,7,100
285,GillFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,5,0,0,0,0,5,100
286,GillStepInterpolator,org.apache.commons.math3.ode.nonstiff,76,0,0,0,0,76,100
287,GradientFunction,org.apache.commons.math3.analysis.differentiation,5,0,0,0,0,5,100
288,GradientMultivariateOptimizer,org.apache.commons.math3.optim.nonlinear.scalar,4,0,0,0,0,4,100
289,GraggBulirschStoerIntegrator,org.apache.commons.math3.ode.nonstiff,274,0,3,89,48,414,77.77777778
290,GraggBulirschStoerStepInterpolator,org.apache.commons.math3.ode.nonstiff,153,0,6,16,10,185,88.10810811
291,GumbelDistribution,org.apache.commons.math3.distribution,26,0,8,5,0,39,66.66666667
